order_id,customer_id,order_date
1,142,3/22/2019
2,12,8/27/2019
3,101,2/1/2020
4,35,2/12/2019
5,32,7/20/2019
6,166,1/7/2020
7,51,10/16/2019
8,40,4/16/2019
9,50,9/21/2019
10,41,6/12/2019
11,79,12/18/2019
12,51,4/30/2019
13,73,7/27/2019
14,82,5/2/2019
15,56,12/30/2019
16,158,11/6/2019
17,30,11/15/2019
18,9,11/12/2019
19,8,5/26/2019
20,29,6/20/2019
21,63,9/12/2019
22,74,11/8/2019
23,69,12/25/2019
24,74,1/25/2020
25,84,6/10/2019
26,104,12/4/2019
27,2,4/24/2019
28,79,7/11/2019
29,53,6/14/2019
30,120,12/5/2019
31,164,6/22/2019
32,37,4/29/2019
33,139,6/30/2019
34,64,11/27/2019
35,13,4/4/2019
36,157,11/1/2019
37,39,5/11/2019
38,114,2/11/2019
39,196,12/25/2019
40,22,7/19/2019
41,62,9/9/2019
42,7,9/26/2019
43,93,5/24/2019
44,23,12/21/2019
45,142,3/3/2019
46,126,10/15/2019
47,151,2/6/2020
48,165,2/3/2020
49,65,7/5/2019
50,43,9/22/2019
51,7,7/1/2019
52,117,5/6/2019
53,167,2/4/2020
54,85,5/11/2019
55,73,11/1/2019
56,151,5/4/2019
57,49,3/24/2019
58,22,7/16/2019
59,121,2/1/2020
60,8,11/25/2019
61,182,2/26/2019
62,96,8/21/2019
63,27,3/31/2019
64,50,12/31/2019
65,42,5/22/2019
66,96,4/4/2019
67,180,11/12/2019
68,95,10/2/2019
69,59,9/3/2019
70,2,10/5/2019
71,200,3/6/2019
72,58,5/19/2019
73,181,5/2/2019
74,76,10/10/2019
75,75,12/20/2019
76,178,4/3/2019
77,123,6/25/2019
78,91,3/29/2019
79,87,5/21/2019
80,76,12/31/2019
81,112,1/1/2020
82,135,6/14/2019
83,121,6/17/2019
84,154,8/10/2019
85,183,2/12/2019
86,84,7/22/2019
87,1,1/23/2020
88,74,3/24/2019
89,12,3/16/2019
90,43,5/25/2019
91,106,9/25/2019
92,33,7/12/2019
93,22,12/27/2019
94,32,8/2/2019
95,181,3/12/2019
96,69,11/15/2019
97,48,8/13/2019
98,93,8/6/2019
99,37,11/4/2019
100,151,8/24/2019
101,157,5/1/2019
102,153,10/13/2019
103,145,8/6/2019
104,38,1/14/2020
105,39,4/25/2019
106,71,4/25/2019
107,136,9/16/2019
108,189,7/13/2019
109,128,5/7/2019
110,154,5/1/2019
111,28,10/2/2019
112,72,7/2/2019
113,196,12/27/2019
114,91,11/16/2019
115,50,12/7/2019
116,167,8/9/2019
117,89,7/13/2019
118,135,11/16/2019
119,169,2/15/2019
120,84,6/22/2019
121,37,11/7/2019
122,136,12/7/2019
123,45,7/20/2019
124,84,6/3/2019
125,82,5/23/2019
126,153,10/17/2019
127,107,5/12/2019
128,52,7/7/2019
129,30,5/5/2019
130,155,9/9/2019
131,89,10/30/2019
132,192,12/29/2019
133,43,2/26/2019
134,158,11/20/2019
135,81,4/25/2019
136,155,3/10/2019
137,33,10/10/2019
138,65,5/18/2019
139,156,7/19/2019
140,73,6/6/2019
141,99,9/11/2019
142,13,2/22/2019
143,128,8/27/2019
144,127,9/6/2019
145,93,10/12/2019
146,68,12/14/2019
147,197,7/1/2019
148,185,8/28/2019
149,152,6/28/2019
150,66,5/23/2019
151,175,9/12/2019
152,121,6/24/2019
153,95,7/5/2019
154,166,2/15/2019
155,174,2/3/2020
156,91,9/14/2019
157,72,9/7/2019
158,193,10/14/2019
159,97,6/18/2019
160,154,12/26/2019
161,35,8/19/2019
162,88,3/25/2019
163,176,3/9/2019
164,3,7/14/2019
165,78,6/23/2019
166,139,6/12/2019
167,96,11/9/2019
168,3,2/22/2019
169,53,10/7/2019
170,111,8/6/2019
171,76,3/15/2019
172,144,8/23/2019
173,54,11/23/2019
174,194,4/1/2019
175,30,6/23/2019
176,177,10/16/2019
177,88,12/14/2019
178,162,4/30/2019
179,118,9/5/2019
180,182,1/18/2020
181,166,5/13/2019
182,174,5/11/2019
183,169,4/1/2019
184,117,5/11/2019
185,35,4/11/2019
186,39,1/25/2020
187,200,6/14/2019
188,24,4/27/2019
189,165,6/6/2019
190,56,10/11/2019
191,72,10/4/2019
192,159,11/9/2019
193,149,8/14/2019
194,138,8/27/2019
195,61,4/1/2019
196,3,4/7/2019
197,79,8/20/2019
198,117,3/3/2019
199,195,11/19/2019
200,141,1/23/2020
201,185,7/24/2019
202,114,8/20/2019
203,42,11/16/2019
204,169,10/17/2019
205,186,4/2/2019
206,10,12/16/2019
207,84,6/13/2019
208,180,8/29/2019
209,145,10/5/2019
210,50,9/21/2019
211,44,10/15/2019
212,118,12/9/2019
213,55,3/30/2019
214,59,4/14/2019
215,74,7/7/2019
216,12,9/3/2019
217,195,4/26/2019
218,137,6/2/2019
219,179,6/25/2019
220,99,9/26/2019
221,137,5/22/2019
222,94,10/12/2019
223,141,8/28/2019
224,195,12/17/2019
225,42,12/26/2019
226,12,9/25/2019
227,31,1/4/2020
228,106,2/10/2019
229,166,6/25/2019
230,111,6/11/2019
231,109,7/10/2019
232,108,7/29/2019
233,182,10/4/2019
234,111,12/3/2019
235,181,8/30/2019
236,150,8/23/2019
237,66,10/24/2019
238,57,2/26/2019
239,80,9/10/2019
240,59,3/12/2019
241,184,10/7/2019
242,1,2/25/2019
243,53,2/13/2019
244,39,2/19/2019
245,192,8/11/2019
246,22,11/28/2019
247,128,9/1/2019
248,129,5/27/2019
249,109,5/8/2019
250,163,8/4/2019
251,170,3/9/2019
252,6,6/15/2019
253,135,8/23/2019
254,170,4/7/2019
255,123,7/15/2019
256,19,12/21/2019
257,107,3/10/2019
258,107,6/9/2019
259,113,9/10/2019
260,162,9/28/2019
261,24,5/6/2019
262,132,8/1/2019
263,41,8/20/2019
264,140,3/4/2019
265,197,7/6/2019
266,80,7/15/2019
267,155,2/12/2019
268,49,10/24/2019
269,142,6/24/2019
270,63,12/30/2019
271,3,7/11/2019
272,192,1/11/2020
273,116,10/1/2019
274,185,3/3/2019
275,33,5/21/2019
276,192,1/7/2020
277,4,7/24/2019
278,10,5/28/2019
279,93,3/13/2019
280,31,11/20/2019
281,123,1/30/2020
282,20,6/30/2019
283,176,12/7/2019
284,72,7/3/2019
285,128,8/14/2019
286,76,6/30/2019
287,139,9/5/2019
288,190,9/10/2019
289,70,10/29/2019
290,100,10/30/2019
291,41,7/24/2019
292,98,11/3/2019
293,192,4/8/2019
294,39,12/2/2019
295,137,12/4/2019
296,170,4/15/2019
297,120,2/26/2019
298,92,6/14/2019
299,183,9/23/2019
300,161,1/28/2020