product_id,order_id,quantity,unit_price
1,3,5,72.69
1,25,4,63.59
1,59,3,22.07
1,68,4,196.11
1,71,5,227.35
1,81,4,116.89
1,121,2,277.29
1,123,1,127.55
1,138,1,38.29
1,155,1,279.34
1,187,3,149.28
1,203,1,299.98
1,208,1,121.73
1,259,1,167.6
1,300,1,66.57
2,20,1,211.07
2,57,4,65.81
2,58,5,102.97
2,63,4,43.22
2,79,2,293.17
2,80,1,181.54
2,94,4,297.49
2,130,3,44.08
2,141,3,187.8
2,155,2,24.27
2,185,3,246.71
2,237,3,224.47
2,253,4,298.5
2,263,2,112.06
2,273,2,182.99
3,10,4,90.93
3,24,5,131.2
3,86,5,266.13
3,92,1,45.25
3,129,2,218.03
3,140,5,298.42
3,146,3,227.31
3,150,5,259.76
3,151,4,262.93
3,173,1,24.73
3,193,1,150.19
3,247,3,211.76
3,273,4,222.86
3,275,2,242.55
4,1,1,296.47
4,5,2,252.36
4,6,1,45.81
4,50,5,240.35
4,106,2,238.13
4,128,1,21.63
4,165,4,256.04
4,180,5,111.71
4,186,1,297.82
4,198,2,186.26
4,215,3,142.39
4,241,3,227.46
4,258,1,44.35
4,287,1,96.12
5,2,2,270.24
5,85,3,91.77
5,86,4,250.29
5,115,1,83.68
5,130,4,91.99
5,152,2,235.74
5,194,4,28.07
5,231,2,207.24
6,8,2,125.19
6,20,5,250.29
6,61,4,201.92
6,64,3,158.38
6,91,4,88.18
6,107,5,56.14
6,110,5,279.77
6,129,1,70.46
6,136,1,23.97
6,178,5,259.37
6,267,3,214.66
6,297,3,229.65
7,10,5,187.7
7,17,1,263.62
7,152,1,209.16
7,216,2,156.19
7,245,4,62.62
7,247,5,267.97
7,269,1,284.51
8,5,3,67.54
8,42,2,99.52
8,92,2,144.46
8,113,2,204.77
8,139,5,245.44
8,146,3,238.44
8,153,3,33.09
8,161,1,174.35
8,170,2,155.16
8,172,1,76.76
8,184,5,186.96
8,213,4,75.46
8,224,2,116.3
9,15,3,53.26
9,17,3,148.75
9,39,3,140.78
9,108,1,298.86
9,137,5,108.31
9,139,4,108.22
9,158,4,59.45
9,190,3,175.14
9,240,2,280.65
9,283,3,63.47
9,290,5,143.88
10,63,1,298.91
10,82,2,238.57
10,110,1,141.67
10,132,3,270.02
10,152,1,202.93
10,166,3,22.22
10,182,2,148.1
10,184,1,263.76
10,220,4,256.94
10,227,2,226.47
10,228,4,145.16
10,243,3,250.63
10,259,2,282.48
10,279,4,130.4
10,289,3,288.77
11,3,4,296.83
11,11,1,45.83
11,71,4,279.23
11,76,5,122.3
11,86,1,190.53
11,112,5,248.04
11,129,4,131.73
11,144,5,184.58
11,195,4,173.69
11,198,4,125.15
11,208,4,49.79
11,239,3,50.86
11,262,1,113.83
11,279,2,44.71
12,34,3,251.16
12,48,4,20.08
12,50,4,281.19
12,146,5,248.47
12,257,1,128.89
12,259,3,284.63
12,266,2,289.46
12,298,2,242.44
13,55,4,62.67
13,63,3,117.84
13,89,3,201.13
13,100,5,92.23
13,141,3,125
13,146,2,94.73
13,151,3,199.78
13,183,3,206.61
13,191,4,258.52
13,203,4,184.23
13,205,4,81.8
13,273,2,65.11
13,287,2,289.21
14,44,2,113.91
14,56,1,262.97
14,72,2,118.64
14,73,3,29.62
14,83,4,22.17
14,111,5,89.03
14,125,2,69.76
14,146,3,244.62
14,173,5,38.56
14,182,1,119.4
14,237,4,128.85
14,240,3,148.13
14,273,1,105.83
14,298,2,143.01
15,10,5,76.8
15,11,1,282.8
15,61,1,268.02
15,79,5,184.14
15,106,2,42.49
15,176,3,207.48
15,179,1,244.24
16,47,1,246.68
16,62,5,258.45
16,66,4,21.17
16,76,2,280.35
16,142,1,131.94
16,251,3,120.9
16,271,4,55.77
17,56,5,64.47
17,102,3,20.01
17,220,5,146.25
17,224,4,30.91
17,261,2,227.73
17,292,2,201.57
17,295,5,143.12
18,3,1,278.43
18,26,5,253.36
18,42,1,281.35
18,45,5,42.58
18,50,5,254.79
18,95,5,172.16
18,101,1,85.49
18,103,2,178.11
18,141,5,262.94
18,151,1,277.25
18,161,3,279.2
18,223,5,171.39
18,228,2,261.02
18,250,5,133.44
18,257,2,263.15
18,289,3,123.2
19,9,2,104.45
19,18,2,296.05
19,52,1,273.98
19,86,1,125.81
19,99,3,252
19,105,1,124.96
19,141,4,141.93
19,144,4,41.58
19,183,1,136.3
19,211,2,227.36
19,224,5,160.62
19,236,3,133.57
19,238,2,252.85
20,14,5,143.31
20,120,2,150.25
20,147,4,130
20,153,4,107.58
20,169,2,61.47
20,273,5,115.18
21,2,2,196.39
21,48,5,52.86
21,52,3,85.13
21,56,5,43.11
21,68,5,175.41
21,92,4,73.81
21,121,5,104.29
21,172,1,98.22
21,200,4,76.78
21,296,4,223.91
21,297,4,270.72
22,46,2,77.72
22,79,4,247.65
22,85,5,134.58
22,147,4,210.23
22,168,3,178.54
22,200,3,217.58
22,214,3,180.54
22,222,2,206.42
22,254,1,193.97
22,260,1,160.99
22,267,2,140.74
22,278,3,210.25
22,289,2,22.79
23,1,4,30.99
23,26,2,168.56
23,39,4,107.69
23,78,3,245.55
23,129,1,169.5
23,155,2,121.22
23,183,1,66.14
23,284,1,254.08
23,297,1,74.73
24,32,3,70.57
24,78,4,21.83
24,81,3,284.95
24,84,4,244.54
24,97,1,252.06
24,147,5,96.33
24,154,3,203.38
24,161,4,269.07
24,205,4,184.06
24,218,2,111.5
24,231,1,77.68
24,251,1,70.82
24,270,2,91.06
24,275,1,99.06
24,294,1,281.6
25,7,2,115.49
25,30,3,249.96
25,58,4,85.03
25,66,1,64.71
25,70,2,58.43
25,82,5,203.47
25,98,4,110.87
25,135,3,173.33
25,140,5,202.21
25,150,2,73.7
25,217,1,41.64
25,277,4,91.01
26,52,1,157.75
26,80,3,30.75
26,130,2,296.97
26,131,1,205.72
26,143,2,268.41
26,213,1,146.08
26,240,2,207.09
26,251,1,80.21
26,254,4,22.24
27,14,3,30.31
27,40,4,127.66
27,69,2,293.7
27,70,2,89.49
27,74,1,202.45
27,144,1,193.56
27,146,4,162.07
27,169,2,288.72
27,181,1,182.05
27,198,3,292.5
27,221,4,173.26
27,244,4,272.27
27,261,1,21.15
27,265,5,65.93
28,34,4,72.18
28,45,1,275
28,58,2,289.46
28,82,1,56.7
28,104,3,218.53
28,109,3,88.6
28,125,4,190.4
28,127,2,192.92
28,131,3,154.56
28,178,1,66.63
28,218,1,41.09
28,228,3,46.97
28,235,3,118.48
28,238,4,254.14
28,241,3,90.27
28,260,3,171.59
28,294,1,92.15
29,16,1,263.28
29,54,1,122.73
29,237,4,239.63
29,294,5,101.83
29,300,5,81.25
30,8,1,202.11
30,91,3,128.86
30,95,5,117.25
30,124,3,83.08
30,147,4,166.1
30,156,3,29.73
30,172,1,111.75
30,175,4,234.25
30,186,2,116.53
30,202,1,276.77
30,215,1,58.85
30,269,3,112.45
30,272,1,220.22
30,294,1,114.55
31,30,2,189.37
31,64,1,238.34
31,65,3,265.1
31,86,3,225.38
31,98,4,234.45
31,119,5,73.29
31,120,1,143.01
31,130,3,65.16
31,135,4,196.28
31,168,1,193.3
31,209,3,222.33
31,268,1,279.59
32,23,5,114.08
32,24,5,60.54
32,30,1,57.09
32,35,1,148.47
32,104,1,110.06
32,126,2,215.42
32,189,2,242.99
32,216,1,59.54
32,218,1,166.24
32,223,5,268.88
32,224,1,235.23
32,233,2,152.3
32,269,3,291.17
33,50,4,106.41
33,66,3,107.58
33,69,2,248.46
33,81,1,46.68
33,82,2,93.58
33,89,2,98.24
33,129,4,271.41
33,143,3,136.21
33,155,4,190.61
33,184,2,163.07
33,208,1,216.69
33,229,3,264.55
33,236,4,172.52
33,240,5,281.13
33,262,4,118.76
33,298,2,82.57
34,30,3,61.61
34,45,2,102.11
34,115,2,222.81
34,122,1,43.55
34,131,2,228.91
34,150,4,50.57
34,153,5,156.85
34,182,4,51.79
34,188,5,222.32
34,266,3,269.89
35,37,4,211.71
35,82,4,208.97
35,136,5,298.61
35,176,2,208.86
35,230,4,107.48
36,17,2,209.46
36,24,5,93.13
36,29,5,228.13
36,36,1,211.73
36,68,1,95.98
36,71,5,237.09
36,92,4,59.11
36,93,5,214.6
36,101,3,65.02
36,118,3,168.5
36,120,4,55.78
36,135,2,281.77
36,142,3,174.15
36,147,2,262.27
36,150,5,32.16
36,158,4,46.09
36,177,4,104.41
36,191,5,189.21
36,213,5,213.13
36,215,5,140.24
36,263,4,257.15
36,273,2,252.32
36,283,5,210.5
37,52,2,299.6
37,107,5,102.06
37,109,3,69.85
37,121,2,207.1
37,126,5,268.86
37,128,5,102.65
37,132,5,39.61
37,186,2,184.06
37,192,1,219.63
37,216,3,222.38
37,223,3,85.97
37,234,4,44.71
37,245,2,84.73
37,247,3,227.49
37,288,2,250.11
38,15,2,299.62
38,33,4,236.11
38,51,4,163.11
38,53,1,288.2
38,58,3,255.12
38,103,5,149.83
38,142,4,22.75
38,146,2,243.92
38,156,5,177.85
38,243,3,193.73
38,289,3,106.18
38,298,4,36.04
39,12,2,212.99
39,49,5,272.58
39,173,4,153.72
39,189,5,113.33
39,282,4,85.6
39,296,4,180.32
40,9,4,84.47
40,23,5,258.55
40,33,1,227.86
40,58,2,247.79
40,69,4,163.63
40,99,1,192.43
40,124,5,78.38
40,141,1,208.24
40,149,1,258.04
40,226,2,151.15
40,229,3,282.59
40,231,3,226.14
40,247,4,50.34
40,295,5,112.09
41,15,2,158.61
41,17,2,114.64
41,18,2,126.41
41,36,1,252.91
41,39,5,256.48
41,48,3,148.91
41,56,3,239.39
41,68,5,151.73
41,85,3,288.24
41,142,2,253.98
41,190,1,259.61
41,221,4,166.39
41,235,5,194.09
41,238,5,35.42
41,267,3,238.67
42,7,5,201.44
42,13,1,47.79
42,49,2,26.63
42,66,5,174.47
42,88,2,281.22
42,181,1,32.13
42,203,1,184.27
42,204,4,215.33
42,249,5,268.09
42,288,4,229.96
42,293,2,49.51
42,298,5,50.32
43,9,5,230.13
43,26,2,195.19
43,28,5,296.7
43,48,4,120.45
43,52,4,89.25
43,56,5,239.55
43,104,4,142.18
43,134,1,272.74
43,165,2,25.91
43,166,4,130.21
43,190,5,275.01
43,202,1,90.41
43,233,4,190.09
43,286,2,83.52
43,295,5,34.92
44,23,1,47.55
44,44,2,208.76
44,82,3,208.36
44,98,4,267.87
44,121,2,62.25
44,122,1,181.45
44,154,3,70.81
44,173,3,40.01
44,247,4,42.48
44,251,1,211.85
44,275,4,85.58
44,279,3,67.93
45,3,1,49.18
45,47,1,26.16
45,91,3,65.44
45,117,1,213.6
45,142,2,136.59
45,168,4,188.22
45,238,4,199.65
45,260,3,297.86
45,272,2,50.68
46,43,5,207.13
46,67,3,257.33
46,117,2,288.65
46,164,3,103.53
46,220,1,62.4
46,223,3,124.44
46,237,4,202.48
46,245,2,251.76
46,294,3,287.62
47,21,3,73.83
47,35,5,261.38
47,52,3,255.84
47,65,5,220.94
47,116,4,81.56
47,178,5,47.63
47,226,1,129.59
47,240,5,31.14
47,254,4,200.5
48,47,3,262.16
48,65,2,149.43
48,133,3,110.95
48,135,4,253.41
48,252,4,110.52
48,264,3,196.83
49,24,4,228.74
49,37,1,162.63
49,63,5,134.25
49,75,3,102.44
49,83,4,176.48
49,177,3,250.71
49,192,4,29.95
49,202,4,28.32
49,247,5,234.88
49,281,5,77.9
50,35,3,20.4
50,74,5,290.62
50,100,1,25.49
50,110,5,208.65
50,124,5,269.63
50,136,3,183.31
50,201,2,73.01
50,219,2,133.57
50,236,2,75.57
50,260,5,46.59
51,7,1,198.24
51,29,1,198.34
51,37,5,271.15
51,86,2,179.41
51,126,2,67.25
51,143,5,165.68
51,150,1,276.23
51,161,1,169.63
51,182,2,83.18
51,202,3,81.95
51,264,4,87.66
51,272,1,87.55
52,55,4,297.12
52,71,4,218.43
52,88,4,74.73
52,94,5,294.79
52,116,4,46.91
52,120,1,123.84
52,145,5,217.41
52,156,5,42.47
52,174,1,254.82
52,178,2,229.96
52,205,1,263.26
52,207,4,55.85
52,217,3,249.82
52,228,3,214.19
52,276,2,128.65
52,290,2,249.29
53,3,5,161.05
53,17,4,125.62
53,56,1,201.91
53,75,2,277.46
53,141,2,202.32
53,146,2,153.39
53,191,3,99.89
53,231,5,68.48
53,255,4,295.22
53,261,1,181.23
54,19,2,146.17
54,49,2,120.35
54,75,4,165.38
54,98,4,45.03
54,143,3,82.47
54,150,5,62.33
54,189,3,91.93
54,225,2,241.89
54,248,3,253.3
54,267,1,136.32
55,14,3,227.78
55,45,4,97.79
55,139,4,187.98
55,148,5,208.34
55,151,4,127.44
55,178,2,267.32
55,234,1,31.62
55,283,5,85.72
56,9,2,21.28
56,14,4,202.72
56,18,5,252.06
56,19,5,39.05
56,38,4,262.44
56,68,2,236.01
56,87,3,111.01
56,108,3,289.55
56,116,1,280.8
56,146,4,226.26
56,200,5,242.53
56,245,3,281.14
56,247,3,284.56
57,1,4,124.53
57,31,5,137.8
57,36,4,58.01
57,69,1,42.64
57,76,4,66.06
57,132,5,96.62
57,158,2,285.53
57,195,4,61.49
57,218,4,245.7
57,224,4,285.18
57,280,4,244.15
58,6,2,110.55
58,14,4,198.79
58,50,4,107.07
58,80,3,185.41
58,106,2,63.68
58,128,3,129.37
58,131,1,260.66
58,155,5,57.8
58,199,3,205.48
58,206,5,287.11
58,254,2,55.64
59,48,2,164.11
59,54,5,272.47
59,75,3,247.46
59,88,3,232.42
59,132,2,236.31
59,147,2,283.35
59,170,3,85.67
59,177,3,90.12
59,211,1,170.74
59,212,1,88.77
59,230,4,204.27
59,257,2,240.33
60,10,1,76.54
60,61,4,76.81
60,66,1,240.49
60,112,5,108.93
60,199,3,38.82
60,204,4,66.26
60,250,1,122.01
60,254,2,251.56
61,33,2,45.44
61,35,2,106.92
61,37,2,256.34
61,65,2,252.49
61,91,5,122.89
61,125,2,135.59
61,141,2,146.41
61,154,5,105.83
61,168,2,68.43
61,200,4,163.54
61,203,5,34.01
61,221,1,282.27
61,253,5,210.82
61,279,2,95.41
61,284,4,112.81
62,6,1,85.29
62,20,1,79.11
62,45,3,269.38
62,74,4,158.41
62,165,1,285.73
62,207,3,26.92
62,219,1,187.64
62,228,3,130.02
62,261,5,295.32
62,271,2,64.95
62,291,5,282.33
63,1,2,131.79
63,129,5,273.68
63,159,1,265.04
63,169,5,121.64
63,178,5,117.79
63,184,1,20.18
63,241,1,69.06
63,253,1,70.69
63,283,4,21.05
64,7,5,261.31
64,88,1,107.65
64,90,5,133.2
64,128,3,261.4
64,136,2,164.35
64,183,5,58.37
64,195,1,180.91
64,205,5,228.9
64,281,2,255.13
64,291,3,108.03
65,7,2,169.38
65,65,5,210.11
65,68,3,212.36
65,70,4,280.55
65,99,3,66.03
65,110,5,293.44
65,140,5,159.07
65,184,5,33.69
65,203,4,60.63
65,227,4,241.01
65,250,5,67.41
66,71,1,284.83
66,83,5,128.53
66,88,5,94.72
66,112,1,204.19
66,128,1,145.26
66,134,1,290.16
66,162,3,221.17
66,196,4,118.88
66,208,2,220.99
66,240,3,166.46
66,248,1,117.99
67,27,2,191.86
67,38,5,237.32
67,62,5,31.46
67,90,3,37.05
67,92,3,245.98
67,122,4,168.12
67,154,1,198.1
67,180,5,168.4
67,187,2,81.9
67,191,1,218.77
67,202,4,169.92
67,220,2,120.95
67,232,3,230.89
68,80,5,175.18
68,89,3,166.44
68,92,3,144.33
68,94,3,163.89
68,104,2,279.44
68,208,3,167.55
68,239,1,277.82
68,247,1,220.59
68,252,1,248.01
69,13,1,281.77
69,20,3,72.31
69,34,5,73.06
69,92,2,269.52
69,131,1,206.38
69,141,3,175.65
69,179,3,217.42
69,184,5,253.54
69,191,2,77.98
70,3,4,261.91
70,36,3,244.31
70,45,1,90.51
70,53,1,68.8
70,55,3,289.14
70,95,3,269.63
70,127,2,259.38
70,129,1,47.45
70,154,5,287.32
70,175,3,265.21
70,192,3,253.86
70,221,3,270.47
70,242,2,178.08
70,259,4,72.05
70,283,3,24.56
71,34,2,75.19
71,38,5,286.17
71,103,3,255.92
71,254,4,246.42
71,262,5,163.66
71,275,3,93.72
71,286,1,122.75
72,35,1,214.48
72,81,2,99.95
72,98,5,241.21
72,168,1,282.82
72,180,2,254.75
72,182,3,157.77
72,208,5,97.49
72,235,2,109.82
72,244,1,176.73
72,273,3,172.59
72,286,2,128.32
72,291,5,120.74
73,5,4,221.53
73,28,5,53.46
73,54,3,215.29
73,112,1,256.68
73,138,1,172.2
73,149,3,142.62
73,167,4,135.36
73,170,1,299.11
73,188,5,154.06
73,209,4,267.47
73,234,4,227.57
73,282,1,240.41
74,4,5,147.32
74,29,1,252.93
74,57,3,122.31
74,71,3,248.88
74,109,2,153.78
74,117,2,239.23
74,249,1,62.07
75,8,1,171.23
75,30,5,31.47
75,38,4,96.06
75,56,3,74.46
75,62,1,186.46
75,102,4,55.76
75,108,4,46.61
75,122,1,193.4
75,125,4,115.54
75,142,1,72.69
75,193,5,178.55
75,223,1,110.53
75,228,3,74.87
75,281,3,249.49
76,23,2,277.89
76,35,5,204.53
76,56,4,203.48
76,65,4,250.41
76,69,4,248.51
76,79,3,195.12
76,108,2,298.01
76,136,4,155.83
76,164,1,99.74
76,170,5,209.02
76,177,5,149.26
76,200,2,206.08
76,213,2,57.02
76,224,2,271.99
76,235,1,140.99
76,268,1,162.89
77,8,1,277.1
77,61,4,127.48
77,70,2,242.99
77,72,3,103.48
77,110,2,289.98
77,152,1,270.03
77,181,4,179.22
77,211,1,22.29
77,227,1,170.39
77,257,3,279.71
77,264,2,177.87
77,295,2,102.36
77,300,2,163.46
78,27,3,119.16
78,102,5,82.35
78,118,5,234.81
78,124,3,184.2
78,132,5,180.47
78,136,2,177.59
78,171,2,229.83
78,181,4,110.29
78,236,1,268.99
78,240,5,42.51
78,259,1,159.71
78,279,1,226.7
78,280,4,178.82
79,8,2,185.15
79,59,4,155.79
79,152,3,223.71
79,155,5,70.42
79,178,5,134.03
79,199,2,57.06
79,236,1,164.32
79,238,4,98.92
79,240,1,116.26
79,254,2,126.32
79,264,5,74.95
79,269,5,99.15
79,282,1,272.43
80,9,5,111.15
80,29,3,123.98
80,58,1,95.93
80,98,3,151.25
80,127,5,258.3
80,146,4,134.53
80,170,2,181.95
80,180,5,69.76
80,199,2,123.18
80,215,5,230.87
80,234,4,114.31
80,250,2,81.27
80,255,5,68.91
80,258,3,38.2
80,271,1,291.51
80,276,2,178.59
80,280,4,180.09
80,298,4,282.42
81,24,2,283.9
81,59,2,44.02
81,71,5,66.41
81,86,5,255.34
81,117,1,78.94
81,148,4,214.6
81,159,1,276.64
81,160,3,56.55
81,199,2,24.33
81,228,2,216.1
81,253,2,155.87
81,280,4,296.45
81,290,1,177.79
82,33,3,29.96
82,69,1,88.91
82,80,2,140.09
82,123,3,85.64
82,148,2,111.55
82,154,2,151.69
82,179,4,136.11
82,183,5,277.15
82,188,2,22.26
82,204,1,47.04
82,242,1,118.15
82,276,1,56.58
83,8,2,163.88
83,19,2,148.3
83,54,2,291.59
83,66,1,246.49
83,83,5,20.77
83,90,1,63.09
83,101,5,108.4
83,116,1,172
83,153,4,204.37
83,192,3,70.74
83,216,5,58.58
83,234,1,39.48
84,14,4,142.76
84,62,4,220.83
84,82,1,246.49
84,154,5,40.85
84,169,4,113.75
85,16,1,236.14
85,48,5,232.08
85,49,4,37.56
85,75,1,291.83
85,76,4,163.89
85,115,1,155.41
85,137,4,174.37
85,152,3,281.38
85,175,2,64.25
85,189,4,294.4
85,272,4,177.33
85,282,3,73.52
85,292,2,248.38